,LastName,Week,Stage,Historical_Cumulative,WeeklyGoal,Current_Cumulative,GoalVariance
4354,GregoryGBC,39,Dep,22.666666666666668,31.916666666666664,21.0,-10.916666666666664
4355,GregoryGBC,40,Dep,22.666666666666668,32.15384615384615,21.0,-11.153846153846153
4356,GregoryGBC,41,Dep,22.666666666666668,32.39102564102564,21.0,-11.391025641025642
4357,GregoryGBC,42,Dep,22.666666666666668,32.62820512820513,21.0,-11.628205128205131
4358,GregoryGBC,43,Dep,23.333333333333332,33.53205128205128,21.0,-12.532051282051277
4359,GregoryGBC,44,Dep,23.333333333333332,33.76923076923077,21.0,-12.769230769230766
4360,GregoryGBC,45,Dep,23.333333333333332,34.006410256410255,21.0,-13.006410256410255
4361,GregoryGBC,46,Dep,23.666666666666668,34.57692307692308,21.0,-13.57692307692308
4362,GregoryGBC,47,Dep,23.666666666666668,34.81410256410256,21.0,-13.814102564102562
4363,GregoryGBC,48,Dep,23.666666666666668,35.05128205128205,21.0,-14.051282051282051
4364,GregoryGBC,49,Dep,24.0,35.62179487179487,21.0,-14.621794871794869
4365,GregoryGBC,50,Dep,24.666666666666668,36.52564102564102,21.0,-15.525641025641022
4366,GregoryGBC,51,Dep,24.666666666666668,36.76282051282051,21.0,-15.762820512820511
4367,GregoryGBC,52,Dep,24.666666666666668,37.0,21.0,-16.0
4368,GregoryGBC,1,Inq,192.66666666666666,195.9551282051282,311.0,115.0448717948718
4369,GregoryGBC,2,Inq,207.0,213.57692307692307,359.0,145.42307692307693
4370,GregoryGBC,3,Inq,236.0,245.8653846153846,364.0,118.13461538461539
4371,GregoryGBC,4,Inq,266.6666666666667,279.8205128205128,449.0,169.17948717948718
4372,GregoryGBC,5,Inq,282.3333333333333,298.775641025641,465.0,166.224358974359
4373,GregoryGBC,6,Inq,297.0,316.7307692307692,475.0,158.26923076923077
4374,GregoryGBC,7,Inq,316.3333333333333,339.3525641025641,486.0,146.6474358974359
4375,GregoryGBC,8,Inq,330.3333333333333,356.64102564102564,503.0,146.35897435897436
4376,GregoryGBC,9,Inq,342.3333333333333,371.9294871794872,549.0,177.07051282051282
4377,GregoryGBC,10,Inq,383.3333333333333,416.21794871794873,553.0,136.78205128205127
