,Week,Stage,Historical_Cumulative,Current_Cumulative,GoalVariance
341,30,Pre,12.0,0.0,-69.49999999999999
342,31,Pre,15.0,0.0,-74.41666666666664
343,32,Pre,35.666666666666664,66.0,-30.99999999999997
344,33,Pre,128.33333333333334,429.0,237.41666666666669
345,34,Pre,344.0,514.0,104.83333333333337
346,35,Pre,408.0,533.0,57.916666666666686
347,36,Pre,457.0,551.0,25.0
348,37,Pre,481.0,563.0,11.083333333333371
349,38,Pre,499.3333333333333,576.0,3.8333333333333712
350,39,Pre,516.6666666666666,584.0,-7.416666666666629
351,40,Pre,532.3333333333334,602.0,-7.0
352,41,Pre,537.6666666666666,612.0,-4.249999999999886
353,42,Pre,551.3333333333334,621.0,-10.833333333333371
354,43,Pre,566.6666666666666,627.0,-22.083333333333258
355,44,Pre,575.3333333333334,635.0,-24.666666666666742
356,45,Pre,602.0,647.0,-41.25
357,46,Pre,621.3333333333334,656.0,-53.5
358,47,Pre,636.0,677.0,-49.08333333333326
359,48,Pre,647.0,692.0,-47.0
360,49,Pre,660.6666666666666,707.0,-47.58333333333326
361,50,Pre,678.0,737.0,-36.83333333333326
362,51,Pre,690.6666666666666,737.0,-51.41666666666663
363,52,Pre,696.3333333333334,737.0,-59.0
364,1,Sub,364.3333333333333,454.0,81.03205128205133
365,2,Sub,389.3333333333333,480.0,73.39743589743591
366,3,Sub,425.6666666666667,524.0,72.42948717948718
367,4,Sub,472.6666666666667,574.0,66.79487179487177
368,5,Sub,530.0,619.0,45.826923076923094
369,6,Sub,575.3333333333334,673.0,45.858974358974365
370,7,Sub,633.6666666666666,732.0,37.891025641025635
371,8,Sub,721.6666666666666,805.0,14.256410256410277
372,9,Sub,775.0,889.0,36.28846153846155
373,10,Sub,869.0,986.0,30.65384615384619
374,11,Sub,940.6666666666666,1031.0,-4.647435897435798
375,12,Sub,1016.0,1106.0,-13.615384615384528
376,13,Sub,1070.6666666666667,1165.0,-17.916666666666742
377,14,Sub,1102.6666666666667,1219.0,-4.5512820512822145
378,15,Sub,1194.0,1285.0,-38.51923076923072
379,16,Sub,1270.3333333333333,1378.0,-30.487179487179446
380,17,Sub,1354.6666666666667,1443.0,-58.4551282051284
381,18,Sub,1453.0,1504.0,-104.4230769230769
382,19,Sub,1544.6666666666667,1637.0,-71.72435897435912
383,20,Sub,1640.6666666666667,1720.0,-93.35897435897436
384,21,Sub,1724.6666666666667,1796.0,-109.99358974358984
385,22,Sub,1814.3333333333333,1895.0,-109.2948717948716
386,23,Sub,1965.3333333333333,2070.0,-93.9294871794873
387,24,Sub,2022.3333333333333,2128.0,-101.56410256410254
388,25,Sub,2066.6666666666665,2182.0,-100.53205128205127
389,26,Sub,2113.3333333333335,2233.0,-104.83333333333348
390,27,Sub,2146.3333333333335,2303.0,-76.46794871794873
391,28,Sub,2186.3333333333335,2354.0,-74.10256410256443
392,29,Sub,2230.0,2386.0,-94.40384615384619
393,30,Sub,2263.0,2413.0,-109.03846153846143
394,31,Sub,2298.3333333333335,2458.0,-108.00641025641016
395,32,Sub,2331.3333333333335,2506.0,-101.64102564102586
396,33,Sub,2364.3333333333335,2566.0,-83.27564102564111
397,34,Sub,2394.6666666666665,2608.0,-80.24358974358984
398,35,Sub,2426.0,2633.0,-95.21153846153857
399,36,Sub,2446.3333333333335,2671.0,-86.1794871794873
400,37,Sub,2475.0,2692.0,-102.48076923076906
401,38,Sub,2498.3333333333335,2719.0,-107.44871794871824
402,39,Sub,2518.3333333333335,2737.0,-118.08333333333348
403,40,Sub,2535.6666666666665,2754.0,-127.05128205128176
404,41,Sub,2553.3333333333335,2767.0,-140.35256410256443
405,42,Sub,2579.0,2782.0,-159.6538461538462
406,43,Sub,2593.0,2794.0,-170.28846153846143
407,44,Sub,2610.0,2803.0,-186.92307692307713
408,45,Sub,2630.6666666666665,2813.0,-206.2243589743589
409,46,Sub,2640.3333333333335,2827.0,-210.5256410256411
410,47,Sub,2654.3333333333335,2842.0,-218.1602564102568
411,48,Sub,2666.0,2856.0,-224.46153846153857
412,49,Sub,2683.0,2869.0,-237.0961538461538
413,50,Sub,2696.0,2898.0,-229.73076923076906
414,51,Sub,2713.6666666666665,2898.0,-256.03205128205127
415,52,Sub,2727.0,2898.0,-278.0
